label,city,state_slug,state_abbr,url,population
"Lakeville, MN",Lakeville,minnesota,MN,/minnesota/lakeville/?tab=insights,60633
"Lauderdale, MN",Lauderdale,minnesota,MN,/minnesota/lauderdale/?tab=insights,2271
"Le Center, MN",Le Center,minnesota,MN,/minnesota/le-center/?tab=insights,2517
"Le Sueur County, MN",Le Sueur County,minnesota,MN,/minnesota/le-sueur-county/?tab=insights,28674
"Lester Prairie, MN",Lester Prairie,minnesota,MN,/minnesota/lester-prairie/?tab=insights,1894
"Lewiston, MN",Lewiston,minnesota,MN,/minnesota/lewiston/?tab=insights,1939
"Lexington, MN",Lexington,minnesota,MN,/minnesota/lexington/?tab=insights,2049
"Lincoln County, MN",Lincoln County,minnesota,MN,/minnesota/lincoln-county/?tab=insights,86810
"Lindstrom, MN",Lindstrom,minnesota,MN,/minnesota/lindstrom/?tab=insights,4888
"Lino Lakes, MN",Lino Lakes,minnesota,MN,/minnesota/lino-lakes/?tab=insights,21399
"Litchfield, MN",Litchfield,minnesota,MN,/minnesota/litchfield/?tab=insights,6657
"Little Canada, MN",Little Canada,minnesota,MN,/minnesota/little-canada/?tab=insights,10819
"Little Falls, MN",Little Falls,minnesota,MN,/minnesota/little-falls/?tab=insights,9140
"Little Rock, MN",Little Rock,minnesota,MN,/minnesota/little-rock/?tab=insights,1208
"Long Lake, MN",Long Lake,minnesota,MN,/minnesota/long-lake/?tab=insights,1800
"Long Prairie, MN",Long Prairie,minnesota,MN,/minnesota/long-prairie/?tab=insights,3661
"Lonsdale, MN",Lonsdale,minnesota,MN,/minnesota/lonsdale/?tab=insights,4686
"Luverne, MN",Luverne,minnesota,MN,/minnesota/luverne/?tab=insights,4946
"Lyon, MN",Lyon,minnesota,MN,/minnesota/lyon/?tab=insights,59235
"Madelia, MN",Madelia,minnesota,MN,/minnesota/madelia/?tab=insights,2396
"Madison, MN",Madison,minnesota,MN,/minnesota/madison/?tab=insights,1462
"Madison Lake, MN",Madison Lake,minnesota,MN,/minnesota/madison-lake/?tab=insights,1247
"Mahtomedi, MN",Mahtomedi,minnesota,MN,/minnesota/mahtomedi/?tab=insights,8138
"Mankato, MN",Mankato,minnesota,MN,/minnesota/mankato/?tab=insights,44488
"Mantorville, MN",Mantorville,minnesota,MN,/minnesota/mantorville/?tab=insights,1111
"Maple Grove, MN",Maple Grove,minnesota,MN,/minnesota/maple-grove/?tab=insights,70253
"Maple Lake, MN",Maple Lake,minnesota,MN,/minnesota/maple-lake/?tab=insights,2159
"Maple Plain, MN",Maple Plain,minnesota,MN,/minnesota/maple-plain/?tab=insights,1743
"Mapleton, MN",Mapleton,minnesota,MN,/minnesota/mapleton/?tab=insights,1886
"Maplewood, MN",Maplewood,minnesota,MN,/minnesota/maplewood/?tab=insights,42088
"Mayer, MN",Mayer,minnesota,MN,/minnesota/mayer/?tab=insights,1903
"Mcleod, MN",Mcleod,minnesota,MN,/minnesota/mcleod/?tab=insights,36771
"Medford, MN",Medford,minnesota,MN,/minnesota/medford/?tab=insights,1249
"Medina, MN",Medina,minnesota,MN,/minnesota/medina/?tab=insights,6047
"Melrose, MN",Melrose,minnesota,MN,/minnesota/melrose/?tab=insights,3616
"Menahga, MN",Menahga,minnesota,MN,/minnesota/menahga/?tab=insights,1340
"Mendota Heights, MN",Mendota Heights,minnesota,MN,/minnesota/mendota-heights/?tab=insights,11744
"Milaca, MN",Milaca,minnesota,MN,/minnesota/milaca/?tab=insights,3021
"Mille Lacs, MN",Mille Lacs,minnesota,MN,/minnesota/mille-lacs/?tab=insights,26459
"Minneapolis, MN",Minneapolis,minnesota,MN,/minnesota/minneapolis/?tab=insights,429954
"Minneota, MN",Minneota,minnesota,MN,/minnesota/minneota/?tab=insights,1366
"Minnetonka, MN",Minnetonka,minnesota,MN,/minnesota/minnetonka/?tab=insights,53781
"Minnetonka Mills, MN",Minnetonka Mills,minnesota,MN,/minnesota/minnetonka-mills/?tab=insights,50117
"Minnetrista, MN",Minnetrista,minnesota,MN,/minnesota/minnetrista/?tab=insights,8262
"Montevideo, MN",Montevideo,minnesota,MN,/minnesota/montevideo/?tab=insights,5398
"Montgomery, MN",Montgomery,minnesota,MN,/minnesota/montgomery/?tab=insights,2915
"Monticello, MN",Monticello,minnesota,MN,/minnesota/monticello/?tab=insights,13299
"Montrose, MN",Montrose,minnesota,MN,/minnesota/montrose/?tab=insights,3079
"Moorhead, MN",Moorhead,minnesota,MN,/minnesota/moorhead/?tab=insights,44505
"Moose Lake, MN",Moose Lake,minnesota,MN,/minnesota/moose-lake/?tab=insights,2789
"Mora, MN",Mora,minnesota,MN,/minnesota/mora/?tab=insights,3462
"Morris, MN",Morris,minnesota,MN,/minnesota/morris/?tab=insights,5105
"Morrison, MN",Morrison,minnesota,MN,/minnesota/morrison/?tab=insights,34010
"Mound, MN",Mound,minnesota,MN,/minnesota/mound/?tab=insights,9336
"Mounds View, MN",Mounds View,minnesota,MN,/minnesota/mounds-view/?tab=insights,13249
"Mountain Iron, MN",Mountain Iron,minnesota,MN,/minnesota/mountain-iron/?tab=insights,2878
"Mountain Lake, MN",Mountain Lake,minnesota,MN,/minnesota/mountain-lake/?tab=insights,1999
"Mower, MN",Mower,minnesota,MN,/minnesota/mower/?tab=insights,40029
"New Brighton, MN",New Brighton,minnesota,MN,/minnesota/new-brighton/?tab=insights,23454
"New Hope, MN",New Hope,minnesota,MN,/minnesota/new-hope/?tab=insights,21032
"New London, MN",New London,minnesota,MN,/minnesota/new-london/?tab=insights,1328
"New Prague, MN",New Prague,minnesota,MN,/minnesota/new-prague/?tab=insights,8162
"New Richland, MN",New Richland,minnesota,MN,/minnesota/new-richland/?tab=insights,1229
"New Ulm, MN",New Ulm,minnesota,MN,/minnesota/new-ulm/?tab=insights,14120
"New York Mills, MN",New York Mills,minnesota,MN,/minnesota/new-york-mills/?tab=insights,1225
"Newport, MN",Newport,minnesota,MN,/minnesota/newport/?tab=insights,3480
"Nicollet County, MN",Nicollet County,minnesota,MN,/minnesota/nicollet-county/?tab=insights,34454
"Nisswa, MN",Nisswa,minnesota,MN,/minnesota/nisswa/?tab=insights,1967
"Nobles, MN",Nobles,minnesota,MN,/minnesota/nobles/?tab=insights,22290
"North Branch, MN",North Branch,minnesota,MN,/minnesota/north-branch/?tab=insights,10787
"North Mankato, MN",North Mankato,minnesota,MN,/minnesota/north-mankato/?tab=insights,14275
"North Oaks, MN",North Oaks,minnesota,MN,/minnesota/north-oaks/?tab=insights,5272
"North Saint Paul, MN",North Saint Paul,minnesota,MN,/minnesota/north-saint-paul/?tab=insights,11460
"Northfield, MN",Northfield,minnesota,MN,/minnesota/northfield/?tab=insights,20380
"Norwood Historical, MN",Norwood Historical,minnesota,MN,/minnesota/norwood-historical/?tab=insights,1506
"Norwood Young America, MN",Norwood Young America,minnesota,MN,/minnesota/norwood-young-america/?tab=insights,3863
"Nowthen, MN",Nowthen,minnesota,MN,/minnesota/nowthen/?tab=insights,4536
"Oak Grove, MN",Oak Grove,minnesota,MN,/minnesota/oak-grove/?tab=insights,8439
"Oak Park Heights, MN",Oak Park Heights,minnesota,MN,/minnesota/oak-park-heights/?tab=insights,4849
"Oakdale, MN",Oakdale,minnesota,MN,/minnesota/oakdale/?tab=insights,23181
"Oakport, MN",Oakport,minnesota,MN,/minnesota/oakport/?tab=insights,1387
"Olivia, MN",Olivia,minnesota,MN,/minnesota/olivia/?tab=insights,2343
"Olmsted, MN",Olmsted,minnesota,MN,/minnesota/olmsted/?tab=insights,162847
"Orono, MN",Orono,minnesota,MN,/minnesota/orono/?tab=insights,8006
"Oronoco, MN",Oronoco,minnesota,MN,/minnesota/oronoco/?tab=insights,1802
"Ortonville, MN",Ortonville,minnesota,MN,/minnesota/ortonville/?tab=insights,2021
"Osakis, MN",Osakis,minnesota,MN,/minnesota/osakis/?tab=insights,1771
"Osseo, MN",Osseo,minnesota,MN,/minnesota/osseo/?tab=insights,2748
"Otsego, MN",Otsego,minnesota,MN,/minnesota/otsego/?tab=insights,15551
"Otter Tail, MN",Otter Tail,minnesota,MN,/minnesota/otter-tail/?tab=insights,60081
"Owatonna, MN",Owatonna,minnesota,MN,/minnesota/owatonna/?tab=insights,26420
"Park Rapids, MN",Park Rapids,minnesota,MN,/minnesota/park-rapids/?tab=insights,4142
"Parkers Prairie, MN",Parkers Prairie,minnesota,MN,/minnesota/parkers-prairie/?tab=insights,1020
"Parkville, MN",Parkville,minnesota,MN,/minnesota/parkville/?tab=insights,2525
"Paynesville, MN",Paynesville,minnesota,MN,/minnesota/paynesville/?tab=insights,2388
"Pelican Rapids, MN",Pelican Rapids,minnesota,MN,/minnesota/pelican-rapids/?tab=insights,2577
"Pennington, MN",Pennington,minnesota,MN,/minnesota/pennington/?tab=insights,109222
"Pequot Lakes, MN",Pequot Lakes,minnesota,MN,/minnesota/pequot-lakes/?tab=insights,2395
"Perham, MN",Perham,minnesota,MN,/minnesota/perham/?tab=insights,3278
"Pierz, MN",Pierz,minnesota,MN,/minnesota/pierz/?tab=insights,1418
"Pine, MN",Pine,minnesota,MN,/minnesota/pine/?tab=insights,28876
